fecha,anio,mes,periodo,concepto_codigo,concepto_descripcion,concepto_nivel,subsector,valor_millones_pesos,fuente_archivo
2020-01-01,2020,1,mensual,VIII_RESULT_FINANCIERO_ANTES_FIGURAT,VIII) RESULT.FINANC.ANTES DE FIGURAT.(VI-VII),principal,total_adm_nacional,-82798.70000000001,aif-enero2020.xlsx
2020-01-01,2020,1,mensual,VII_GASTOS_ANTES_FIGURAT,VII) GASTOS ANTES DE FIGURAT.(II+V),principal,total_adm_nacional,433711.30000000005,aif-enero2020.xlsx
2020-01-01,2020,1,mensual,VI_INGRESOS_ANTES_FIGURAT,VI) INGRESOS ANTES DE FIGURAT.(I+IV),principal,total_adm_nacional,350912.6,aif-enero2020.xlsx
2020-01-01,2020,1,mensual,V_GASTOS_CAPITAL,V) GASTOS DE CAPITAL,principal,total_adm_nacional,7235.6,aif-enero2020.xlsx
2020-01-01,2020,1,mensual,XIII_GASTOS_DESPUES_FIGURAT,XIII) GASTOS DESPUES DE FIGURAT.,principal,total_adm_nacional,534985.7000000001,aif-enero2020.xlsx
2020-01-01,2020,1,mensual,XII_GASTOS_PRIMARIOS_DESPUES_FIGURAT,XII) GASTOS PRIMARIOS DESPUES DE FIGURAT.,principal,total_adm_nacional,448063.80000000005,aif-enero2020.xlsx
2020-01-01,2020,1,mensual,XIV_RESULTADO_PRIMARIO,XIV) SUPERAVIT PRIMARIO  (XI-XII),principal,total_adm_nacional,-15541.800000000047,aif-enero2020.xlsx
2020-01-01,2020,1,mensual,XI_INGRESOS_DESPUES_FIGURAT,XI) INGRESOS DESPUES DE FIGURAT.,principal,total_adm_nacional,432522.00000000006,aif-enero2020.xlsx
2020-01-01,2020,1,mensual,XV_RESULTADO_FINANCIERO,XV) RESULTADO FINANCIERO  (XI-XIII),principal,total_adm_nacional,-102463.70000000001,aif-enero2020.xlsx
2020-01-01,2020,1,mensual,X_GASTOS_FIGURATIVOS,X) GASTOS FIGURATIVOS,principal,total_adm_nacional,101274.40000000001,aif-enero2020.xlsx
2020-02-01,2020,2,mensual,III_RESULTADO_ECONOMICO,III) RESULT.ECON.: AHORRO/DESAHORRO (I-II),principal,ex_cajas_prov,-2154.0,2020.02-aif-imig.xlsx
2020-02-01,2020,2,mensual,II_GASTOS_CORRIENTES,II) GASTOS CORRIENTES,principal,ex_cajas_prov,5516.0,2020.02-aif-imig.xlsx
2020-02-01,2020,2,mensual,IV_RECURSOS_CAPITAL,IV) RECURSOS DE CAPITAL,principal,ex_cajas_prov,0.0,2020.02-aif-imig.xlsx
2020-02-01,2020,2,mensual,IX_CONTRIBUCIONES_FIGURATIVAS,IX) CONTRIBUCIONES FIGURATIVAS,principal,ex_cajas_prov,2154.0,2020.02-aif-imig.xlsx
2020-02-01,2020,2,mensual,I_INGRESOS_CORRIENTES,I) INGRESOS CORRIENTES,principal,ex_cajas_prov,3362.0,2020.02-aif-imig.xlsx
2020-02-01,2020,2,mensual,VIII_RESULT_FINANCIERO_ANTES_FIGURAT,VIII) RESULT.FINANC.ANTES DE FIGURAT.(VI-VII),principal,ex_cajas_prov,-2154.0,2020.02-aif-imig.xlsx
2020-02-01,2020,2,mensual,VII_GASTOS_ANTES_FIGURAT,VII) GASTOS ANTES DE FIGURAT.(II+V),principal,ex_cajas_prov,5516.0,2020.02-aif-imig.xlsx
2020-02-01,2020,2,mensual,VI_INGRESOS_ANTES_FIGURAT,VI) INGRESOS ANTES DE FIGURAT.(I+IV),principal,ex_cajas_prov,3362.0,2020.02-aif-imig.xlsx
2020-02-01,2020,2,mensual,V_GASTOS_CAPITAL,V) GASTOS DE CAPITAL,principal,ex_cajas_prov,0.0,2020.02-aif-imig.xlsx
2020-02-01,2020,2,mensual,XIII_GASTOS_DESPUES_FIGURAT,XIII) GASTOS DESPUES DE FIGURAT.,principal,ex_cajas_prov,5516.0,2020.02-aif-imig.xlsx
2020-02-01,2020,2,mensual,XII_GASTOS_PRIMARIOS_DESPUES_FIGURAT,XII) GASTOS PRIMARIOS DESPUES DE FIGURAT.,principal,ex_cajas_prov,5516.0,2020.02-aif-imig.xlsx
2020-02-01,2020,2,mensual,XIV_RESULTADO_PRIMARIO,XIV) SUPERAVIT PRIMARIO  (XI-XII),principal,ex_cajas_prov,0.0,2020.02-aif-imig.xlsx
2020-02-01,2020,2,mensual,XI_INGRESOS_DESPUES_FIGURAT,XI) INGRESOS DESPUES DE FIGURAT.,principal,ex_cajas_prov,5516.0,2020.02-aif-imig.xlsx
2020-02-01,2020,2,mensual,XVI) INGRESOS EXTRAORDINARIOS (3),XVI) INGRESOS EXTRAORDINARIOS (3),principal,ex_cajas_prov,0.0,2020.02-aif-imig.xlsx
2020-02-01,2020,2,mensual,XV_RESULTADO_FINANCIERO,XV) RESULTADO FINANCIERO  (XI-XIII),principal,ex_cajas_prov,0.0,2020.02-aif-imig.xlsx
2020-02-01,2020,2,mensual,X_GASTOS_FIGURATIVOS,X) GASTOS FIGURATIVOS,principal,ex_cajas_prov,0.0,2020.02-aif-imig.xlsx
2020-02-01,2020,2,mensual,III_RESULTADO_ECONOMICO,III) RESULT.ECON.: AHORRO/DESAHORRO (I-II),principal,inst_seg_social,-22429.29999999999,2020.02-aif-imig.xlsx
2020-02-01,2020,2,mensual,II_GASTOS_CORRIENTES,II) GASTOS CORRIENTES,principal,inst_seg_social,190032.19999999998,2020.02-aif-imig.xlsx
2020-02-01,2020,2,mensual,IV_RECURSOS_CAPITAL,IV) RECURSOS DE CAPITAL,principal,inst_seg_social,6845.5,2020.02-aif-imig.xlsx
2020-02-01,2020,2,mensual,IX_CONTRIBUCIONES_FIGURATIVAS,IX) CONTRIBUCIONES FIGURATIVAS,principal,inst_seg_social,60397.8,2020.02-aif-imig.xlsx
2020-02-01,2020,2,mensual,I_INGRESOS_CORRIENTES,I) INGRESOS CORRIENTES,principal,inst_seg_social,167602.9,2020.02-aif-imig.xlsx
2020-02-01,2020,2,mensual,VIII_RESULT_FINANCIERO_ANTES_FIGURAT,VIII) RESULT.FINANC.ANTES DE FIGURAT.(VI-VII),principal,inst_seg_social,-15586.699999999983,2020.02-aif-imig.xlsx
2020-02-01,2020,2,mensual,VII_GASTOS_ANTES_FIGURAT,VII) GASTOS ANTES DE FIGURAT.(II+V),principal,inst_seg_social,190035.09999999998,2020.02-aif-imig.xlsx
